Date,Open,High,Low,Close,Volume,Adj Close
12/09/09,2170.02,2185.7,2155.96,2183.73,1906210000,2183.73
12/08/09,2174.72,2187.19,2160.43,2172.99,1981800000,2172.99
12/07/09,2191.35,2201.42,2183.13,2189.61,1878980000,2189.61
12/04/09,2203.75,2214.39,2169.66,2194.35,2305950000,2194.35
12/03/09,2190.42,2203.75,2172.04,2173.14,2001660000,2173.14
12/02/09,2178.51,2198.55,2177.82,2185.03,2068920000,2185.03
12/01/09,2162.23,2182.24,2162.23,2175.81,2151300000,2175.81
11/30/09,2135.93,2146.93,2120.7,2144.6,1986050000,2144.6
11/27/09,2115.96,2155.41,2113.99,2138.44,971990000,2138.44
11/25/09,2174,2178.62,2170.06,2176.05,1398610000,2176.05
11/24/09,2174.69,2175.15,2155.22,2169.18,1858490000,2169.18
11/23/09,2168.95,2189.5,2168.77,2176.01,1840170000,2176.01
11/20/09,2145.07,2150.08,2137.06,2146.04,1962760000,2146.04
11/19/09,2176.37,2176.51,2141.59,2156.82,2208700000,2156.82
11/18/09,2199.87,2200.15,2180.17,2193.14,1990220000,2193.14
11/17/09,2190.12,2203.78,2185.55,2203.78,1887240000,2203.78
11/16/09,2177.31,2205.32,2177,2197.85,2105020000,2197.85
11/13/09,2156.68,2172.05,2145.92,2167.88,1876220000,2167.88
11/12/09,2166.98,2179.19,2145.83,2149.02,2212370000,2149.02
11/11/09,2166.53,2177.91,2155.25,2166.9,1851790000,2166.9
11/10/09,2147.24,2160.64,2141.27,2151.08,1997240000,2151.08
11/09/09,2128.46,2154.06,2128.15,2154.06,2004700000,2154.06
11/06/09,2089.49,2117.62,2088.24,2112.44,1829150000,2112.44
11/05/09,2078.83,2105.32,2075.61,2105.32,2209690000,2105.32
11/04/09,2067.56,2081.1,2053,2055.52,2217520000,2055.52
11/03/09,2034.09,2057.32,2031.25,2057.32,2061050000,2057.32
11/02/09,2047.42,2069.49,2024.27,2049.2,2408320000,2049.2
10/30/09,2091.56,2095.09,2040.21,2045.11,2610280000,2045.11
10/29/09,2077.04,2101.33,2071.3,2097.55,2301370000,2097.55
10/28/09,2103.36,2111.84,2057.4,2059.61,2769570000,2059.61
10/27/09,2144.15,2148.88,2110.91,2116.09,2384620000,2116.09
10/26/09,2158.81,2183.61,2136.92,2141.85,2316210000,2141.85
10/23/09,2186.64,2190.48,2149.35,2154.47,2441920000,2154.47
10/22/09,2146.72,2169.17,2130.7,2165.29,2265230000,2165.29
10/21/09,2160.78,2190.64,2148.41,2150.73,2565680000,2150.73
10/20/09,2180.43,2181.16,2151.77,2163.47,2110580000,2163.47
10/19/09,2162.41,2180.11,2150.42,2176.32,1970440000,2176.32
10/16/09,2164.73,2164.73,2142.88,2156.8,2209950000,2156.8
10/15/09,2164.33,2173.29,2158.29,2173.29,2140090000,2173.29
10/14/09,2165.83,2173.95,2157.48,2172.23,2348620000,2172.23
10/13/09,2138.7,2146.35,2128.44,2139.89,2020110000,2139.89
10/12/09,2145.63,2155.92,2128.39,2139.14,1784280000,2139.14
10/09/09,2120,2139.62,2118.04,2139.28,1936850000,2139.28
10/08/09,2124.69,2139.65,2116.06,2123.93,2366950000,2123.93
10/07/09,2099.06,2110.33,2095.94,2110.33,2220910000,2110.33
10/06/09,2080.4,2111.13,2079.49,2103.57,2413450000,2103.57
10/05/09,2056.52,2074.78,2049.04,2068.15,2156250000,2068.15
10/02/09,2040.84,2064.15,2040.73,2048.11,2448110000,2048.11
10/01/09,2111.77,2112.9,2057.48,2057.48,2708170000,2057.48
09/30/09,2131.3,2137.87,2092.3,2122.42,2640660000,2122.42
09/29/09,2131.67,2141.4,2116.63,2124.04,2062970000,2124.04
09/28/09,2101.92,2140.04,2101.43,2130.74,1890030000,2130.74
09/25/09,2095.84,2106.99,2085.35,2090.92,2363930000,2090.92
09/24/09,2140.06,2142.49,2097.1,2107.61,2607280000,2107.61
09/23/09,2152.43,2167.7,2130.34,2131.42,2683250000,2131.42
09/22/09,2150.02,2150.68,2137.39,2146.3,2490480000,2146.3
09/21/09,2121.34,2142.41,2118.48,2138.04,2408860000,2138.04
09/18/09,2134.85,2138.82,2120.7,2132.86,3023010000,2132.86
09/17/09,2129.42,2140.6,2118.5,2126.75,2615780000,2126.75
09/16/09,2110.06,2133.15,2102.86,2133.15,2707080000,2133.15
09/15/09,2090.33,2106.93,2086.16,2102.64,2372990000,2102.64
09/14/09,2066.15,2091.78,2065.8,2091.78,2157600000,2091.78
09/11/09,2083.34,2088.93,2070.02,2080.9,2318050000,2080.9
09/10/09,2059.48,2084.02,2055.49,2084.02,2451330000,2084.02
09/09/09,2038.92,2066.34,2033.47,2060.39,2493930000,2060.39
09/08/09,2034.74,2038.63,2023.03,2037.77,2037180000,2037.77
09/04/09,1986.98,2018.92,1982.05,2018.78,1722150000,2018.78
09/03/09,1975.85,1983.37,1958.04,1983.2,1853450000,1983.2
09/02/09,1960.07,1976.35,1958.51,1967.07,1974330000,1967.07
09/01/09,2001.3,2034.78,1965.48,1968.89,2778570000,1968.89
08/31/09,2011.14,2013.65,1997.53,2009.06,2256210000,2009.06
08/28/09,2050.53,2059.48,2017.42,2028.77,2340180000,2028.77
08/27/09,2021.31,2029.27,1993.03,2027.73,2140540000,2027.73
08/26/09,2021.3,2034.31,2013.52,2024.43,2037560000,2024.43
08/25/09,2025.59,2040.59,2019.17,2024.23,1936980000,2024.23
08/24/09,2026.11,2036.03,2012,2017.98,2046370000,2017.98
08/21/09,2000.15,2021.86,1994.33,2020.9,2259140000,2020.9
08/20/09,1967.57,1992.22,1965.69,1989.22,1958470000,1989.22
08/19/09,1933.39,1972.32,1931.91,1969.24,1977750000,1969.24
08/18/09,1940.55,1958.71,1935.33,1955.92,1749420000,1955.92
08/17/09,1949.23,1949.23,1929.64,1930.84,1924190000,1930.84
08/14/09,2005.79,2006.73,1969.68,1985.52,1923410000,1985.52
08/13/09,2009.27,2013.43,1986.87,2009.35,2084370000,2009.35
08/12/09,1970.95,2015.26,1970.25,1998.72,2140190000,1998.72
08/11/09,1985.06,1986.85,1962.08,1969.73,1915530000,1969.73
08/10/09,1991.44,1999.55,1979.39,1992.24,1844700000,1992.24
08/07/09,1997,2012.33,1984.5,2000.25,2323980000,2000.25
08/06/09,1999.21,2004.37,1967.68,1973.16,2408400000,1973.16
08/05/09,2014.45,2014.45,1980.68,1993.05,2353550000,1993.05
08/04/09,1996.38,2015.59,1993.74,2011.31,2235010000,2011.31
08/03/09,1998.35,2008.61,1985.88,2008.61,2155720000,2008.61
07/31/09,1980.72,1995.05,1977.65,1978.5,2190380000,1978.5
