Date,Adj Close,Date,Adj Close,End Date,SEK/GBP,SEK/EUR
"Apr 4, 2011",189.70,"Apr 4, 2011",10.44,"Apr 4, 2011",0.0986,0.1116
"Apr 1, 2011",188.20,"Apr 1, 2011",10.41,"Apr 1, 2011",0.0986,0.1119
"Mar 31, 2011",185.60,"Mar 31, 2011",10.20,"Mar 31, 2011",0.0984,0.1119
"Mar 30, 2011",184.70,"Mar 30, 2011",10.22,"Mar 30, 2011",0.0981,0.1114
"Mar 29, 2011",182.10,"Mar 29, 2011",10.09,"Mar 29, 2011",0.0978,0.1113
"Mar 28, 2011",181.60,"Mar 28, 2011",10.07,"Mar 28, 2011",0.0976,0.1113
"Mar 25, 2011",182.30,"Mar 25, 2011",10.07,"Mar 25, 2011",0.0975,0.1119
"Mar 24, 2011",181.50,"Mar 24, 2011",10.18,"Mar 24, 2011",0.0970,0.1118
"Mar 23, 2011",180.40,"Mar 23, 2011",10.18,"Mar 23, 2011",0.0974,0.1120
"Mar 22, 2011",181.80,"Mar 22, 2011",10.13,"Mar 22, 2011",0.0982,0.1125
"Mar 21, 2011",181.40,"Mar 21, 2011",10.01,"Mar 21, 2011",0.0982,0.1125
"Mar 18, 2011",177.10,"Mar 18, 2011",9.00,"Mar 18, 2011",0.0965,0.1111
"Mar 17, 2011",178.30,"Mar 17, 2011",9.12,"Mar 17, 2011",0.0968,0.1115
"Mar 16, 2011",175.50,"Mar 16, 2011",9.02,"Mar 16, 2011",0.0970,0.1121
"Mar 15, 2011",181.20,"Mar 15, 2011",9.13,"Mar 15, 2011",0.0980,0.1131
"Mar 14, 2011",185.20,"Mar 14, 2011",9.40,"Mar 14, 2011",0.0979,0.1136
"Mar 11, 2011",188.00,"Mar 11, 2011",9.53,"Mar 11, 2011",0.0973,0.1135
"Mar 10, 2011",188.70,"Mar 10, 2011",9.58,"Mar 10, 2011",0.0973,0.1133
"Mar 9, 2011",190.10,"Mar 9, 2011",9.48,"Mar 9, 2011",0.0972,0.1128
"Mar 8, 2011",191.10,"Mar 8, 2011",9.39,"Mar 8, 2011",0.0967,0.1127
"Mar 7, 2011",183.80,"Mar 7, 2011",9.03,"Mar 7, 2011",0.0969,0.1127
"Mar 4, 2011",184.00,"Mar 4, 2011",9.11,"Mar 4, 2011",0.0972,0.1141
"Mar 3, 2011",183.50,"Mar 3, 2011",9.10,"Mar 3, 2011",0.0972,0.1145
"Mar 2, 2011",179.50,"Mar 2, 2011",9.15,"Mar 2, 2011",0.0973,0.1147
"Mar 1, 2011",180.80,"Mar 1, 2011",9.10,"Mar 1, 2011",0.0974,0.1138
"Feb 28, 2011",182.20,"Feb 28, 2011",9.14,"Feb 28, 2011",0.0966,0.1132
"Feb 25, 2011",178.70,"Feb 25, 2011",9.14,"Feb 25, 2011",0.0967,0.1136
"Feb 24, 2011",176.00,"Feb 24, 2011",9.31,"Feb 24, 2011",0.0964,0.1137
"Feb 23, 2011",176.70,"Feb 23, 2011",9.34,"Feb 23, 2011",0.0958,0.1137
"Feb 22, 2011",180.50,"Feb 22, 2011",9.38,"Feb 22, 2011",0.0960,0.1141
"Feb 21, 2011",182.10,"Feb 21, 2011",9.40,"Feb 21, 2011",0.0963,0.1143
"Feb 18, 2011",185.40,"Feb 18, 2011",9.39,"Feb 18, 2011",0.0965,0.1147
"Feb 17, 2011",184.60,"Feb 17, 2011",9.35,"Feb 17, 2011",0.0962,0.1145
"Feb 16, 2011",185.40,"Feb 16, 2011",9.38,"Feb 16, 2011",0.0960,0.1143
"Feb 15, 2011",182.00,"Feb 15, 2011",9.29,"Feb 15, 2011",0.0960,0.1140
"Feb 14, 2011",183.50,"Feb 14, 2011",9.28,"Feb 14, 2011",0.0965,0.1139
"Feb 11, 2011",185.30,"Feb 11, 2011",9.29,"Feb 11, 2011",0.0961,0.1133
"Feb 10, 2011",185.70,"Feb 10, 2011",9.33,"Feb 10, 2011",0.0966,0.1138
"Feb 9, 2011",186.00,"Feb 9, 2011",9.39,"Feb 9, 2011",0.0965,0.1140
"Feb 8, 2011",184.30,"Feb 8, 2011",9.40,"Feb 8, 2011",0.0958,0.1137
"Feb 7, 2011",184.70,"Feb 7, 2011",9.44,"Feb 7, 2011",0.0956,0.1137
"Feb 4, 2011",187.70,"Feb 4, 2011",9.44,"Feb 4, 2011",0.0957,0.1129
"Feb 3, 2011",184.90,"Feb 3, 2011",9.34,"Feb 3, 2011",0.0964,0.1131
"Feb 2, 2011",178.50,"Feb 2, 2011",9.32,"Feb 2, 2011",0.0972,0.1135
"Feb 1, 2011",179.10,"Feb 1, 2011",9.25,"Feb 1, 2011",0.0971,0.1129
"Jan 31, 2011",175.50,"Jan 31, 2011",9.14,"Jan 31, 2011",0.0967,0.1126
"Jan 28, 2011",177.10,"Jan 28, 2011",9.13,"Jan 28, 2011",0.0975,0.1131
"Jan 27, 2011",180.80,"Jan 27, 2011",9.25,"Jan 27, 2011",0.0973,0.1124
"Jan 26, 2011",180.50,"Jan 26, 2011",9.24,"Jan 26, 2011",0.0961,0.1118
"Jan 25, 2011",176.20,"Jan 25, 2011",9.30,"Jan 25, 2011",0.0950,0.1115
"Jan 24, 2011",172.90,"Jan 24, 2011",9.35,"Jan 24, 2011",0.0949,0.1115
"Jan 21, 2011",174.60,"Jan 21, 2011",9.33,"Jan 21, 2011",0.0944,0.1119
"Jan 20, 2011",176.60,"Jan 20, 2011",9.12,"Jan 20, 2011",0.0945,0.1122
"Jan 19, 2011",179.30,"Jan 19, 2011",9.01,"Jan 19, 2011",0.0941,0.1121
"Jan 18, 2011",184.00,"Jan 18, 2011",9.01,"Jan 18, 2011",0.0939,0.1121
"Jan 17, 2011",183.20,"Jan 17, 2011",8.96,"Jan 17, 2011",0.0947,0.1122
"Jan 14, 2011",182.00,"Jan 14, 2011",9.04,"Jan 14, 2011",0.0942,0.1125
"Jan 13, 2011",185.50,"Jan 13, 2011",9.05,"Jan 13, 2011",0.0941,0.1128
"Jan 12, 2011",188.30,"Jan 12, 2011",9.10,"Jan 12, 2011",0.0936,0.1125
"Jan 11, 2011",190.80,"Jan 11, 2011",9.03,"Jan 11, 2011",0.0932,0.1121
"Jan 10, 2011",187.30,"Jan 10, 2011",9.08,"Jan 10, 2011",0.0928,0.1117
"Jan 7, 2011",185.00,"Jan 7, 2011",9.25,"Jan 7, 2011",0.0946,0.1122
"Jan 6, 2011",185.40,"Jan 6, 2011",9.17,"Jan 6, 2011",0.0952,0.1120
"Jan 5, 2011",186.10,"Jan 5, 2011",9.02,"Jan 5, 2011",0.0960,0.1118
"Jan 4, 2011",185.00,"Jan 4, 2011",9.07,"Jan 4, 2011",0.0960,0.1117
"Dec 30, 2010",183.50,"Dec 30, 2010",9.06,"Dec 30, 2010",0.0949,0.1112
"Dec 29, 2010",184.70,"Dec 29, 2010",9.10,"Dec 29, 2010",0.0950,0.1114
"Dec 23, 2010",187.80,"Dec 23, 2010",9.09,"Dec 23, 2010",0.0947,0.1115
"Dec 22, 2010",187.80,"Dec 22, 2010",9.07,"Dec 22, 2010",0.0944,0.1113
"Dec 21, 2010",185.80,"Dec 21, 2010",9.14,"Dec 21, 2010",0.0941,0.1112
"Dec 20, 2010",187.10,"Dec 20, 2010",9.07,"Dec 20, 2010",0.0941,0.1109
"Dec 17, 2010",181.61,"Dec 17, 2010",9.08,"Dec 17, 2010",0.0939,0.1106
"Dec 16, 2010",179.40,"Dec 16, 2010",9.23,"Dec 16, 2010",0.0934,0.1101
"Dec 15, 2010",181.80,"Dec 15, 2010",9.21,"Dec 15, 2010",0.0928,0.1095
"Dec 14, 2010",181.70,"Dec 14, 2010",9.27,"Dec 14, 2010",0.0921,0.1094
"Dec 13, 2010",183.60,"Dec 13, 2010",9.24,"Dec 13, 2010",0.0916,0.1094
"Dec 10, 2010",181.40,"Dec 10, 2010",9.28,"Dec 10, 2010",0.0919,0.1097
"Dec 9, 2010",180.80,"Dec 9, 2010",9.30,"Dec 9, 2010",0.0919,0.1094
"Dec 8, 2010",177.80,"Dec 8, 2010",9.25,"Dec 8, 2010",0.0928,0.1097
"Dec 7, 2010",178.00,"Dec 7, 2010",9.25,"Dec 7, 2010",0.0929,0.1098
"Dec 6, 2010",177.40,"Dec 6, 2010",9.24,"Dec 6, 2010",0.0933,0.1097
